"NAME","TAG","MIN CHARACTERS","MAX CHARACTERS","CHARACTER TYPES","RELEVANT TOPICS","DESCRIPTION","LINK"
"Zombie Apocalypse","plot","2","NA","peer/protagonist/antagonist","apocalyptic/combat/haunted/death/immortality/disaster","The recently dead have risen, en masse, to feed on the living. With each victim they claim, their numbers swell, and no force on Earth can contain them. As society collapses, it's up to the Big Damn Heroes (or a Ragtag Bunch of Misfits) – {REMAINING_CHARACTERS} – to fight their way to safety or keep shooting until things blow over.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ZombieApocalypse"
"And That Little Girl Was Me","plot","2","2","mentor,protagonist/peer/antagonist","backstory/memory/disguise/emotion","One character, the {CHARACTER_0}, treats another, the {CHARACTER_1}, to a lengthy third-person anecdote. Either the receiver or the person telling the tale will be one of the crucial characters. Usually it's revealed, but sometimes it's just implied.","https://tvtropes.org/pmwiki/pmwiki.php/Main/AndThatLittleGirlWasMe"
"How Dad Met Mom","plot","1","1","protagonist/peer","marriage/family/backstory/memory/attraction","Simply put, an episode/chapter/scene/whatever detailing how the {CHARACTER_0}'s parents met, almost always in the form of the child or children being told the story by one of the parents. This trope usually comes into play when at least one of the parents is an important character, and thus worthy of giving an explanation on how they ended up having a child with the other character.","https://tvtropes.org/pmwiki/pmwiki.php/Main/HowDadMetMom"
"Reincarnation Romance","plot","2","2","protagonist,love interest","immortality/afterlife/attraction/death/prophecy/obsession/haunted","You know the drill. A love so strong it conquered time! The {CHARACTER_0} and the {CHARACTER_1} love each other so deeply, and are tied by the Red String of Fate so closely, that they will meet and fall in love every time they reincarnate, lifetime after lifetime.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ReincarnationRomance"
"Criminally Attractive","plot","2","2","protagonist,love interest/antagonist","attraction/distraction/disguise/betrayal/rivalry/murder","Now and then a government official or law enforcement official like the {CHARACTER_0} will be strongly attracted to someone connected with a crime... like the {CHARACTER_1}. The {CHARACTER_1} may at some point in the episode become the Damsel in Distress, but if not, they're either the perp or will be suspected of being the perp. The {CHARACTER_0} will be reluctant to believe that she's capable of such a thing until the evidence is completely damning.","https://tvtropes.org/pmwiki/pmwiki.php/Main/CriminallyAttractive"
"A Match Made in Stockholm","plot","2","2","love interest,protagonist","obsession/rivalry/attraction/kissing/dating/friendship/hatred","A form of Meet Cute, where two characters who inevitably end up becoming friends or comrades or lovers first meet in this very uncordial way. The {CHARACTER_0}, normally through a misunderstanding, ends up taking the {CHARACTER_1} hostage. Their interactions are normally played for comedy, with plenty of snarking and arguing.","https://tvtropes.org/pmwiki/pmwiki.php/Main/AMatchMadeInStockholm"
"She Is Not My Girlfriend","plot","2","2","protagonist/love interest/peer","friendship/dating/attraction/school","Yes, she is. If she isn't, she eventually will be. A standard response in the face of an accusation that two characters, the {CHARACTER_0} and {CHARACTER_1}, are more than Just Friends. Usually said with an exclamation point or ten, and emphasis on the NOT, maybe accompanied by breaking something.","https://tvtropes.org/pmwiki/pmwiki.php/Main/SheIsNotMyGirlfriend"
"Parental Marriage Veto","plot","2","2","protagonist/peer,love interest/mentor/antagonist","marriage/family/dating","The {CHARACTER_0} is a grown adult. They've found their true love, the {CHARACTER_1}, who loves them back. They want to get married. Everything's great, right? Wrong! The {CHARACTER_0}'s parents are convinced that they've picked the wrong person, and will do almost anything to prevent the marriage.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ParentalMarriageVeto"
"Relationship Sabotage","plot","2","2","antagonist,protagonist/love interest","revenge/obsession/attraction/dating","The {CHARACTER_0} tries to ruin the {CHARACTER_1}'s romantic relationship or marriage. There are various reasons the saboteur might do this. One of the most common is that the {CHARACTER_0} is in love with one of the people in the relationship, and is willing to stoop pretty low to amend this situation.","https://tvtropes.org/pmwiki/pmwiki.php/Main/RelationshipSabotage"
"Auto-Incorrect","plot","2","2","protagonist,peer/love interest","technological/disaster/friendship","Autocorrect and speech-to-text software are a great help to users of electronic devices, but they're not perfect. They often pick the wrong words, and sometimes the {CHARACTER_0} fails to catch it before hitting send... straight to the {CHARACTER_1}'s inbox. The resulting mistakes can be anything from cringeworthy to hilarious.","https://tvtropes.org/pmwiki/pmwiki.php/Main/AutoIncorrect"
"Data Drive MacGuffin","plot","2","NA","protagonist/antagonist","technological/disaster/revenge/hatred/combat","A plot where characters – {REMAINING_CHARACTERS} – race, compete, or fight, to recover possession of a piece of computer data storage media containing highly desired information. Oftentimes, it is scandalous or revealing information held by blackmailers, which the device's recovery will prevent from being leaked.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DataDriveMacGuffin"
"Haunted Technology","plot","NA","NA","protagonist/peer/antagonist","haunted/technological/death/backstory/afterlife","Take an everyday piece of technology. Maybe a microwave oven, or an MP3 player, or even the very device you're browsing this site with right now. Not very scary, right? But what if... THERE'S A GHOST INSIDE IT?! Betcha scared now, huh?!","https://tvtropes.org/pmwiki/pmwiki.php/Main/HauntedTechnology"
"Aliens Never Invented the Wheel","setting","NA","NA","NA","technological/backstory/identity","It's more difficult to pass off an alien culture or that of an Alternate Universe Earth as fundamentally different from humanity by introducing a unique set of Technology Levels and social traits than to just have them lack something humans have. Wouldn't it feel alien to be asked what a table does or what the strange noise patterns that emerge from your iPod are?","https://tvtropes.org/pmwiki/pmwiki.php/Main/AliensNeverInventedTheWheel"
"Fallen States of America","setting","NA","NA","NA","disaster/apocalyptic/tragedy","A common way to create a Crapsack World setting is to have the United States fall so much that it becomes much like a third world nation, with a collapsed economy, decaying infrastructure, fallen or incredibly corrupt government, and so on.","https://tvtropes.org/pmwiki/pmwiki.php/Main/FallenStatesOfAmerica"
"Doomsday Clock","setting","NA","NA","NA","prophecy/apocalyptic/disaster/death","This handy metaphor is pulled out of the writer's bag of tricks whenever we need to be shown that time is of the essence in a particular dilemma. Expect the minute hand to be mighty close to the 12 at the top of the clock.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DoomsdayClock"
"Fluffy Cloud Heaven","setting","NA","NA","NA","afterlife/immortality","Heaven takes place in the clouds, which are solid enough to walk on, and expect much Heavenly Blue. Besides the clouds, the landscape consists chiefly of white, fluted columns in a generic Greco-Roman style. Humans become angels after they die.","https://tvtropes.org/pmwiki/pmwiki.php/Main/FluffyCloudHeaven"
"Mirror Universe","setting","NA","NA","NA","rivalry/combat/identity","An alternate universe where Good and Evil characterizations are reversed, but otherwise the same as the real universe except where logically derived from this change in morality. The hero in the Mirror Universe functions as the Evil Twin.","https://tvtropes.org/pmwiki/pmwiki.php/Main/MirrorUniverse"
"Chew-Out Fake-Out","dialogue","2","2","mentor,protagonist/peer","school/distraction/friendship","The {CHARACTER_0} takes the {CHARACTER_1} aside and is giving them a stern look. The {CHARACTER_1} knows this is it, their chickens have come home to roost, they're going to be grounded until the cows come home, and they won't see daylight again until the hogs catch their 9 am flight to Miami. After an unbearable silence, the {CHARACTER_0} has only one thing to say: they thinks what the {CHARACTER_1} did was hilarious, and is pretty proud that they managed to pull it off.","https://tvtropes.org/pmwiki/pmwiki.php/Main/ChewOutFakeOut"
"Insult Backfire","dialogue","2","2","antagonist,protagonist/peer","rivalry/revenge/combat/hatred","The {CHARACTER_0} comments on a trait of the {CHARACTER_1}'s in a way that's intended to sound negative, but instead of being insulted, the {CHARACTER_1} acts flattered. Occasionally, the insult backfires because the {CHARACTER_0}'s remarks were insulting on the surface, but the {CHARACTER_1} carries them to their logical, ultimately complimentary conclusion.","https://tvtropes.org/pmwiki/pmwiki.php/Main/InsultBackfire"
"Encyclopedia Exposita","dialogue","NA","NA","NA","backstory/school/memory","Quotes from other fictional books being used as an Epigraph or part of the frame of the story. These quotes are always apposite and often provide painless exposition, rather than relying on conversations.","https://tvtropes.org/pmwiki/pmwiki.php/Main/EncyclopediaExposita"
"Myth Prologue","dialogue","1","NA","protagonist/mentor","prophecy/backstory","A quick way to establish the fantasy setting and premise of your story is to tell a mythical story about it in the opening minutes of the work. An important character like {CHARACTER_0} will tell a tall tale of power and magic.","https://tvtropes.org/pmwiki/pmwiki.php/Main/MythPrologue"
"Don't Make Me Destroy You","dialogue","2","2","mentor/protagonist,antagonist/peer","combat/distraction/rivalry/identity","Two characters conflict, and one is more advantageously positioned than the other. This powerful character, {CHARACTER_0}, wants to avoid a fight, and so warns {CHARACTER_1} against provoking a decisive clash because it's guaranteed that they will lose.","https://tvtropes.org/pmwiki/pmwiki.php/Main/DontMakeMeDestroyYou"
"Unwitting Pawn","dialogue","2","NA","antagonist,peer","betrayal/disguise/revenge/rivalry","The villain, {CHARACTER_0}, reveals that they had been secretly manipulating someone to advance their goal all along. Not only does an Unwitting Pawn, {CHARACTER_1}, fail to stop the bad guy, but he actually furthers the villain's plan in the process.","https://tvtropes.org/pmwiki/pmwiki.php/Main/UnwittingPawn"
"Take Care of the Kids","dialogue","2","NA","mentor/peer,protagonist","family/death/emotion/friendship","A last request where someone dying, {CHARACTER_0}, asks {CHARACTER_1} to please take care of their kids/family.","https://tvtropes.org/pmwiki/pmwiki.php/Main/TakeCareOfTheKids"
